Title,Practice,Milestone,Labels,DeliverablePath
"Практика 01: постановка задачи и первичный календарный план","practice-01","M1 — Инициация и постановка задачи","practice-01;artifact:plan;status:planned","docs/problem-statement/statement.md"
"Практика 02.1: связи, ресурсы и критический путь","practice-02-1","M2 — Календарное и ресурсное планирование","practice-02-1;artifact:plan;status:planned","docs/planning/critical-path.md"
"Практика 02.2: базовый план и отчётность","practice-02-2","M3 — Контроль исполнения и отчётность","practice-02-2;artifact:report;baseline;actuals;status:planned","docs/planning/earned-value.md"
"Практика 03: IDEF0 модель","practice-03","M4 — Функциональное моделирование","practice-03;artifact:model;status:planned","models/idef/idef0-context.drawio"
"Практика 04: IDEF3 и декомпозиция","practice-04","M4 — Функциональное моделирование","practice-04;artifact:model;status:planned","models/idef/idef3-process.drawio"
"Практика 05: Use Case и Sequence","practice-05","M5 — UML-моделирование","practice-05;artifact:model;status:planned","models/uml/"
"Практика 06: Class и Activity","practice-06","M5 — UML-моделирование","practice-06;artifact:model;status:planned","models/uml/"
"Практика 07: успешные проекты и презентация","practice-07","M8 — Риски и итоговая комплектация","practice-07;artifact:presentation;status:planned","docs/presentations/"
"Практика 08: первый BPMN-процесс","practice-08","M6 — BPMN-моделирование","practice-08;artifact:model;status:planned","models/bpmn/pricing-data-preparation.bpmn"
"Практика 09: второй BPMN-процесс","practice-09","M6 — BPMN-моделирование","practice-09;artifact:model;status:planned","models/bpmn/pricing-model-deployment.bpmn"
"Практика 10: документация бизнес-процесса","practice-10","M6 — BPMN-моделирование","practice-10;artifact:report;status:planned","docs/reports/practice-10-business-process-report.md"
"Практика 11: сценарии КАК ЕСТЬ / КАК ДОЛЖНО БЫТЬ","practice-11","M7 — Имитационное моделирование процессов","practice-11;simulation;artifact:report;status:planned","models/bpmn/simulation/"
"Практика 12: управление рисками","practice-12","M8 — Риски и итоговая комплектация","practice-12;artifact:risk;status:planned","docs/risk-management/risk-register.md"
