ResourceID,ResourceName,Type,MaxUnits,StandardRate,OvertimeRate,CostPerUse,Calendar,Owner,Notes
R-001,"Руководитель проекта","Work",100%,0,0,0,"Standard","Облов Андрей Андреевич","Планирование, контроль, координация"
R-002,"Системный аналитик","Work",100%,0,0,0,"Standard","Облов Андрей Андреевич","Требования, постановка задачи, UML, BPMN"
R-003,"Data Scientist","Work",100%,0,0,0,"Standard","Облов Андрей Андреевич","Логика интеллектуального ценообразования, модель, метрики"
R-004,"Backend-разработчик","Work",100%,0,0,0,"Standard","Облов Андрей Андреевич","Интеграционная логика, API, хранение данных"
R-005,"Бизнес-эксперт по автомобильной продукции","Work",50%,0,0,0,"Standard","Облов Андрей Андреевич","Валидация правил ценообразования"
R-006,"Тестировщик","Work",50%,0,0,0,"Standard","Облов Андрей Андреевич","Проверка сценариев и качества результатов"
R-007,"Репозиторий GitHub","Cost",,0,0,0,"","Облов Андрей Андреевич","Хранение артефактов, issues, project board"
R-008,"Рабочая станция","Material",,0,0,0,"","Облов Андрей Андреевич","Подготовка документации, моделей, расчётов"
R-009,"Данные о ценах и продуктах","Material",,0,0,0,"","Облов Андрей Андреевич","Источник для модели ценообразования"
R-010,"Облачная среда/сервер","Cost",,0,0,0,"","Облов Андрей Андреевич","Размещение прототипа и расчётов"
